voters,jcj_ops,chide_ops,simurgh_ops,jcj_seconds,chide_seconds,simurgh_seconds,jcj_bytes,chide_bytes,simurgh_bytes
10,3900,458640,80,10.934927689377218,1596.5224575063621,0.00766316730505423,299520,29352960,8607520
100,399000,12087000,800,1118.7272174516693,42074.75785775205,0.0766316730505423,30643200,773568000,8660800
1000,39990000,206676000,8000,112125.0662303064,719437.631753848,0.766316730505423,3071232000,13227264000,9193600
10000,3999900000,3214440000,80000,11215030.067882035,11189441.933339331,7.66316730505423,307192320000,205724160000,14521600
100000,399999000000,51336000000,800000,1121528241.2367175,178700237.3943542,76.6316730505423,30719923200000,3285504000000,67801600
1000000,39999990000000,693936000000,8000000,112153076468.15689,2415586098.1862354,766.316730505423,3071999232000000,44411904000000,600601600
