options,voter_ms,box_ms,verify_ms,ballot_bytes,proof_bytes,rounds
2,142.96340802684426,122.37964101368561,30.367850011680275,193837,104512,3.8
4,90.09645797777921,126.331016223412,65.61177499825135,304493,215168,1.6
8,112.94825038639829,291.78632518742234,116.64399160072207,544237,454912,1.2
16,162.8672247985378,339.60000799270347,231.71882479218766,1048301,958976,1.0
