method,box_ms,verify_ms,total_verify_ms,bytes,hides_link,servers
ReRand+FSwA,43.38197481120005,14.599416416604072,73.5196330351755,118304,0,0
ReRand+CutChoose,610.4460170143284,546.4858916122466,605.4061082308181,1658912,0,0
ReRand+Amortized,0.2539519533456769,0.13816783466609195,59.05838445323752,86592,0,0
VerifiableShuffle,157.1206837776117,36.91198277520016,95.83219939377159,741504,1,4
DecryptionMix,17.87549980217591,0.04393360577523708,58.96415022434667,1376256,1,4
ABL (this work),89.86380019923672,0.0,58.92021661857143,79872,1,0
